"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FABP5",6376.97175327107,-0.199112955239331,0.0512321337329091,2.67902007311596e-06,0.000627999257139389
"HN1",5739.16677797528,-0.207537370612961,0.0560698690130598,2.94028648665815e-06,0.000677561611400072
"PPFIBP2",678.042320462593,0.649826793819458,0.239013180921675,3.08415215908922e-06,0.000698868879249617
"GPATCH8",1125.066803329,0.670981815976395,0.247663107709125,3.17431542067492e-06,0.00070425285253175
"KCNE3",116.032960157058,0.914351458722373,0.371829894106683,3.21150903625835e-06,0.00070425285253175
"JAKMIP3",2651.03514525488,0.220134426960179,0.0649410142358688,3.3018487480937e-06,0.000712570406017174
"LRRC66",1004.94284166928,0.793697930501916,0.305744483493679,3.37189847868548e-06,0.000716317683065747
"MMP17",2945.05532420577,-0.213087637565414,0.0607601359105926,3.71842421951955e-06,0.000777779933670583
"LOC106900269",105.823593977221,0.745804068986412,0.292873811167046,4.03514936065239e-06,0.000831240768294392
"CCDC40",2268.59678755602,-0.261482504623167,0.100619794551518,4.47447590442907e-06,0.00090798469248683
"CGN",1016.4227006975,0.425463188393839,0.184756150191876,4.59891307737744e-06,0.00091951209117682
"SH3TC2",608.983449541915,0.332264723257749,0.147904383794883,5.09741633816465e-06,0.00100441264541575
"PPA1",9138.85377471347,-0.201559692632342,0.0554159569771274,5.25165459236344e-06,0.00102002136911105
"CTXN1",8004.42585310294,-0.222213191670524,0.0706510895842447,5.81707241712712e-06,0.00111392840258113
"FAM105A",1242.4619560509,-0.21016659453397,0.0616930492993585,6.03313140887692e-06,0.00113925631437626
"B3GALNT2",2122.30829928669,0.164053395561614,0.0402522618855749,6.26743464207756e-06,0.00116728823826968
"ARHGEF28",1439.48678016554,0.242042546939188,0.0894636144887867,6.97771104093413e-06,0.00128201296368298
"NPM1",9739.89977431094,-0.153032454257406,0.0371785127619658,7.34896927790576e-06,0.00133222115069876
"TANGO6",1317.91079063522,-0.219428689054176,0.0708026316423624,7.82867964838916e-06,0.00140050958551972
"ELP6",569.647392881208,-0.209302958004101,0.0635342067148395,8.72445305532149e-06,0.00154048913948248
"ANKRD17",1237.79442747851,0.236118882377823,0.0875185891642798,9.41940762516458e-06,0.00164187520604792
"GAL",5368.29279895336,-0.674372694493733,0.315696018974792,9.60894992235963e-06,0.00165371244486584
"TAOK1",4638.79973611702,0.254594058699002,0.104681843833916,9.92229464041726e-06,0.00168629397413891
"HEG1",3777.48508314052,0.229862250627332,0.0831188761594846,1.06514416255291e-05,0.00178786420173695
"NPPC",1313.03178212929,-0.375166613147701,0.187668398553715,1.27602923407603e-05,0.00211571871542655
"PDHB",7769.14777902796,-0.170796800866565,0.044724927190562,1.3329678795956e-05,0.00218349774590141
"MTHFD1",594.259585421243,-0.225705781634136,0.0836062146150554,1.57062022688197e-05,0.00254216102436752
"ATP11C",2699.38739695945,0.23144038832776,0.089422533616116,1.59241971539791e-05,0.00254712217065293
"ARPC1A",5210.61243196449,-0.200740120345415,0.0614864721353938,1.61360340459066e-05,0.00255099440567612
