"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",131.530184338488,0.0137232872931462,0.0500649634249544,0.122232450019474,0.699462196626124
"IL20RA",123.664990111386,-0.0186150669216712,0.0463500178963613,0.124670248812309,0.700612207457118
"IL22RA2",6.6227445358649,-0.00124574843780252,0.0492609879674705,0.768160552426916,0.954468243821203
"IFNGR1",783.343381600695,-0.00529616576114075,0.0440147990176047,0.629424661534232,0.928024369792036
"LOC106887325",121.395245156228,-0.00288610220297839,0.0445089080220894,0.766738383932231,0.954468243821203
"LOC106888020",4.03990529720123,0.00130973461611567,0.0535449653568225,0.645506683643026,0.931121910865624
"LOC106888514",50.02514135202,0.00931967876621814,0.0473343219682015,0.2620539014259,0.795957187094828
"LOC106889615",153.64366579603,-0.00386264570090662,0.0459873321187959,0.609761426116623,0.922254442620582
"ENTPD4",1190.84712632095,-0.00854266669349313,0.0379187140876198,0.66062958643747,0.935151558928127
"LOXL2",47.3999552696233,0.00186828027478381,0.0468335411711264,0.759827433383916,0.954468243821203
"R3HCC1",2551.73292100373,0.00503978130433008,0.0374650634810639,0.798447729820451,0.958880280077756
"LOC106893840",7.16248707645616,-0.00297410572705466,0.0492829258310229,0.531635555605116,0.897124519989911
"CHMP7",1740.28181618075,-0.00416769402137075,0.0439190359492172,0.704849649369629,0.944345069426337
"LOC106890301",70.2773607410404,-0.00557300481880066,0.0446318708492373,0.575658027748498,0.911920329447576
"RHOBTB2",979.093300157911,-0.0134103928747132,0.0402183450877744,0.442709993666459,0.872139229594668
"PEBP4",2522.56092729042,0.0471599531576557,0.0554044975130372,0.00831323434549729,0.422124679516285
"EGR3",240.608587448058,0.000388018504504425,0.0456485786999319,0.95867524524317,0.992783082222346
"BIN3",550.116281447542,-0.0104699296552293,0.0434713851934003,0.411070870851566,0.858701537409873
"PDLIM2",7.6384707656097,0.00427618368713185,0.0516481656596918,0.343037712920495,0.833042554877515
"RFC5",318.614072988131,-0.028618243814647,0.0470152139803428,0.0520115106463019,0.608132277180578
"WSB2",939.33830401076,0.00437221979263988,0.0425832424635137,0.746398164617868,0.951800832706453
"LOC106902700",302.413392699223,0.00656746273081932,0.0441173677612581,0.550712124951036,0.904139786151484
"DTX1",1197.36084840077,-0.0192475717067786,0.0431709187319901,0.192917782310369,0.76910539171805
"EWSR1",2251.95124126111,-0.0315773101930406,0.0400782995219347,0.0992852387060048,0.673962305857016
"GAS2L1",1245.25007298676,0.00411980584145317,0.0383025980145009,0.829018815599841,0.967991480943509
"AP1B1",4809.69207815707,0.0028172933853173,0.0376495035299182,0.885610278707778,0.979418736192566
"LOC106886774",17.3247662439734,0.00227943734306495,0.0485973715895972,0.639121252015332,0.929754209750998
"NEFH",9079.68867961682,0.00118258548213728,0.0412070538292817,0.939979138569459,0.98946001959606
"THOC5",1793.75656777707,0.013590139246058,0.0414126106254919,0.397136206723073,0.852618685610825
"NF2",1073.6376851314,-0.00642647355269469,0.0376305512808049,0.743448929502429,0.951678378232402
"CABP7",543.018185516479,0.0243182566497561,0.12129305481746,NA,NA
"ZMAT5",719.325679235102,0.119279889043801,0.144343432220064,0.000287797543598796,0.0985186101906602
"LOC106885327",5389.4825941772,0.0147711874670091,0.0433279965706133,0.282138821466357,0.80315928939755
"ASCC2",1110.04261539688,-0.000294501734613455,0.0328664487846018,0.989102626277215,0.997678149796903
"MTMR3",930.303508044684,-0.0127750659700625,0.0464849533034113,0.206787268187051,0.773473657635135
"LOC106887058",1640.27417437897,-0.0257110836151821,0.0360242397655718,0.222230292944148,0.776092588795626
"LOC106888081",248.046746290535,-0.0136701320046207,0.0448084430373345,0.246854174581918,0.787710593980261
"HORMAD2",7.29661706594677,0.000596966934632487,0.0493258465353062,0.883783947520879,0.97915674511319
"LIF",10.589901919185,-0.0122397914450995,0.0717565969082772,0.0437819804150498,0.590451201087792
"LOC106885400",144.88896939522,-0.00965347416832368,0.0450592376118411,0.35296984405269,0.836734961524753
"LOC106884710",6.58705610912948,-0.0036693607871444,0.0504924908041031,0.422297612043652,0.865092031001894
"TBC1D10A",4174.61610271277,0.0265373631082294,0.0340939934605126,0.22043270358125,0.775788835192704
"SF3A1",4694.76552259793,0.0125013338782979,0.0375506046757581,0.528191540049858,0.896562090497238
"CCDC157",288.343425114709,0.0117276993393456,0.0422696656894347,0.424741520583217,0.865267729881987
"RNF215",1974.32935142574,-0.0128318569589717,0.0378938066886077,0.512346846273275,0.891085835609873
"SEC14L2",941.177719213956,0.00875709778153433,0.0410872121066393,0.587094192827116,0.916321080946417
"MTFP1",608.739398088976,0.0368262084776291,0.0557266589322896,0.0157576647628293,0.489679640621305
"LOC106884822",25.4780267151592,0.0051492019877198,0.0479661448265393,0.412793822953527,0.859907148296621
"GAL3ST1",3885.58822834423,0.0262907911947056,0.0366196575356598,0.206935398159247,0.773473657635135
"PES1",2699.56645775655,-0.00937944085891863,0.0402461839352424,0.586154383756483,0.916218583528422
"TCN2",173.439777192453,0.0095913323061485,0.0448195318439593,0.368549076726221,0.843704724628901
"SLC35E4",584.208939313768,-0.0186132530800544,0.0423355577030576,0.231456729779202,0.780677104250996
"LOC106885768",412.443611030546,0.00838346187343451,0.0484985553692022,0.252699536104088,0.792291523041233
"IQCD",185.102991275176,-0.0074964551379286,0.0449437693448486,0.450845689054607,0.874037461203669
"OSBP2",414.126299842391,-0.00345845558988746,0.0443701115895762,0.731056296853706,0.949689722200399
"LOC106886039",96.90934087449,-0.0134437003764151,0.0541429979723139,0.0894614688565844,0.668710727847855
