"Gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SLC35D3",82.0471898420965,0.00274835832481993,0.0362749977224128,0.113745894533043,0.907696572637877
"IL20RA",85.3789767956805,0.00198992770542511,0.0281901611968833,0.129220044155393,0.907696572637877
"IL22RA2",4.43327836192013,0.000930822896462582,0.031622975994849,0.520759112814002,0.920766878978003
"IFNGR1",681.378469801225,0.000940809267240408,0.0177946430958915,0.230886829221166,0.907696572637877
"LOC106887325",108.754285654686,0.00100181471684345,0.021173650186392,0.308658755453771,0.907696572637877
"LOC106888020",2.66739382976697,-0.000906500995909564,0.0407412855932919,0.574469390991239,0.928889355172198
"LOC106888514",36.6221432346734,-0.000736942030997277,0.0202763359930456,0.451029701587875,0.913126006466743
"LOC106889615",138.077291741092,-0.00206220769368166,0.031556884502156,0.163591477325357,0.907696572637877
"ENTPD4",1060.858471986,-0.000465962338578806,0.00866984608898397,0.180464573829277,0.907696572637877
"LOXL2",41.4466200498967,0.00777393303109985,0.0683140656442863,0.037274302426586,0.907696572637877
"R3HCC1",2179.22682428907,-0.000163244204953307,0.00435635650028034,0.399115176826059,0.907696572637877
"LOC106893840",9.46043061801028,-0.0015036754111022,0.0349851687159796,0.342004821618613,0.907696572637877
"CHMP7",1569.19453807932,0.000257001486575398,0.0099538280081381,0.572992353064663,0.928422028415562
"LOC106890301",80.1415525304122,0.000267856068111565,0.0125439914022282,0.660925325027271,0.952912609191707
"RHOBTB2",996.931021968776,-0.000309407182743003,0.00823324476059215,0.365128726569073,0.907696572637877
"PEBP4",3667.95693456102,-0.001029380811257,0.0188105969682861,0.217106234439541,0.907696572637877
"EGR3",799.510773744367,-0.00119463968802102,0.0335906640706461,0.431651624220206,0.909386036120731
"BIN3",468.258630874356,0.000286718150976631,0.00875861608193499,0.446099300786733,0.913126006466743
"PDLIM2",17.6359738498602,-0.000305097957095208,0.0196261150627616,0.759545086297033,0.966114636103233
"RFC5",252.153560402436,-0.0238272039423235,0.100522689174635,0.00595070287664386,0.530702188213666
"WSB2",839.917783676817,-6.01762647084239e-05,0.00502445201542604,0.788391039178928,0.96761647536301
"LOC106902700",308.378468033266,0.0209858836858393,0.105889898253373,0.00917342757807152,0.651427497136777
"DTX1",874.800575715064,1.38533730887176e-06,0.00552316846460126,0.995605195262752,0.99961116298437
"EWSR1",2004.9215915514,0.000137513222914259,0.00460783103310473,0.492267021482869,0.918284071394958
"GAS2L1",956.133521881844,-0.000392230302670689,0.00746987299140093,0.193519080870396,0.907696572637877
"AP1B1",3720.18417285371,0.000164142594483946,0.00414165935966035,0.384857099206745,0.907696572637877
"LOC106886774",16.1491205823017,0.00221823760701139,0.0360702980701557,0.186935260398002,0.907696572637877
"NEFH",5004.12225448918,-4.80441442140704e-05,0.00472470025550913,0.820246274984807,0.973098310108356
"THOC5",1579.69411073126,-4.59675011452166e-05,0.00483869213287705,0.832062672330981,0.974502576923309
"NF2",912.589108969041,-1.59043707441005e-05,0.00321171571563846,0.9205814440191,0.98552750478567
"CABP7",121.716758540035,0.00011195180495652,0.00985528931671479,0.815278795445325,0.972291415512893
"ZMAT5",626.832406876154,0.000344259097318137,0.00913900825940846,0.369792635458184,0.907696572637877
"LOC106885327",4341.81165271921,-0.00113226204369735,0.0172426450590037,0.125736627444304,0.907696572637877
"ASCC2",982.977327683511,-1.91428970262895e-05,0.00317763749858635,0.904337564139782,0.983205106029269
"MTMR3",869.425305736291,0.00207375554976356,0.0286858725745354,0.121517060513871,0.907696572637877
"LOC106887058",1510.13936555225,-0.00034945307229283,0.00689147344524093,0.212102420724034,0.907696572637877
"LOC106888081",284.668995862484,-0.00052441484493557,0.0113036727624952,0.264012267696409,0.907696572637877
"HORMAD2",5.62328210519839,0.00167460887870115,0.0349098917883803,0.29380508340536,0.907696572637877
"LIF",11.4608161760748,-0.000972604862152454,0.0260439012553319,0.435793511902935,0.911834014796644
"LOC106885400",122.616619636679,-0.000334148920412826,0.0106573881588226,0.484516237667532,0.917577655857829
"LOC106884710",4.96801871775205,0.00021016864457025,0.0297862197684813,0.878822603353401,0.981226383496982
"TBC1D10A",3732.81379490124,-0.000172375010993107,0.00455852795502229,0.387540947013811,0.907696572637877
"SF3A1",4291.62337305543,9.13319300518018e-05,0.00354893817461068,0.590210135903972,0.935908374455136
"CCDC157",282.006108274792,-0.00018887432095913,0.00670136638363486,0.509345261043158,0.920201861805143
"RNF215",1508.64872154075,-5.31371309859795e-05,0.00483345872831593,0.805664558287096,0.971128540081864
"SEC14L2",826.137359712805,-0.000710649201168962,0.0125154011753004,0.166454325038709,0.907696572637877
"MTFP1",429.194037329723,0.00046435424305946,0.0116112797276898,0.354170196616945,0.907696572637877
"LOC106884822",14.5663702045789,-0.00043039382207817,0.0229843073533465,0.706816013963853,0.957937659266715
"GAL3ST1",2120.23145719443,0.000366796329970315,0.0136374922193701,0.575704600750157,0.928889355172198
"PES1",2111.70720599393,9.17718958395004e-05,0.00640291733899801,0.751021283033337,0.965274338450503
"TCN2",233.111980193056,0.000526982760753188,0.0156007619555384,0.475694113945928,0.917265070813872
"SLC35E4",517.770410270319,-0.000101336346620096,0.00575313052717478,0.690276065180623,0.955499897199144
"LOC106885768",415.659813191902,-9.35629315764848e-05,0.0163488189707223,0.911618854433068,0.983913902055684
"IQCD",174.77676086609,0.000120545638103773,0.00709301035723329,0.707686592543206,0.957937659266715
"OSBP2",397.770450291365,0.000196713629693672,0.0102108435459289,0.685456704707398,0.955499897199144
"LOC106886039",53.5040830625395,-0.00148633563389085,0.0303517505307718,0.29550317302388,0.907696572637877
"RTN4R",741.007930092861,0.00120152349684711,0.0203156109359454,0.183652428274091,0.907696572637877
"LOC106887820",3264.03681994388,-0.000183541773453926,0.00461868927861745,0.363231968440303,0.907696572637877
"SCARF2",1591.9293061335,0.00071962318013505,0.0117814336023111,0.133997375541527,0.907696572637877
"DGCR6L",4120.63217094681,-0.00058238050499976,0.0134029034131625,0.31812980679691,0.907696572637877
"SLC7A4",3520.1848224282,-0.000274511055284007,0.00583102928105781,0.257265528054554,0.907696572637877
"LRRC74B",7.56106228929099,0.00227071693076001,0.0417019895652654,0.219968918538047,0.907696572637877
"P2RX6",927.273943735836,-3.16040952476867e-05,0.00748605648604964,0.928797210060098,0.987112456335165
"LOC106887664",522.760644807613,0.000635406323253631,0.0159720829419605,0.387418395420308,0.907696572637877
"AIFM3",656.608488601505,0.000787190385824871,0.0186545291579198,0.36567864794381,0.907696572637877
"LOC106888560",424.384917223729,-0.000122792811182755,0.00932050093759961,0.783526297861523,0.96761647536301
"LOC106889924",9994.71486014773,0.00079374035723219,0.0185583643950151,0.3575653844303,0.907696572637877
"GLE1",479.902660223438,0.00011253641926606,0.00541447175386301,0.63367125094641,0.945667410253076
"ODF2",1088.92404748072,-0.000277966235211276,0.00668925468151048,0.308166741686527,0.907696572637877
"PTGES2",3232.99318925422,-0.000494574481109974,0.00967691098741049,0.204459320367021,0.907696572637877
"LOC106892294",696.298761860943,0.000243745756838927,0.00645918815127084,0.359174779279974,0.907696572637877
"CIZ1",1977.35947331343,-0.000463545358260098,0.00967970630093837,0.237278752973087,0.907696572637877
"DNM1",26199.5740088084,0.00050615858327073,0.00827368276378708,0.133005911891677,0.907696572637877
"GOLGA2",3352.46873310434,0.000142086111440796,0.00333280591851465,0.421386821947181,0.907696572637877
"TRUB2",737.822782245818,0.000912990715124176,0.0149754350218605,0.146346120604001,0.907696572637877
"COQ4",833.377130557549,-0.000467635902172967,0.00955243732651565,0.225390070535944,0.907696572637877
"SLC27A4",2975.51709342024,2.69595825604729e-05,0.00384103242199838,0.878338850340509,0.981226383496982
"URM1",2018.1314395446,7.76402634369616e-05,0.00367526572274922,0.650378085221794,0.949547273541221
"CERCAM",3001.67907826953,0.000109160086830799,0.00959677942015133,0.81429133583467,0.972221855324914
"PTRH1",577.373145978432,-0.00544883656137016,0.0481581183863524,0.0389322312762687,0.907696572637877
